"Date","Price","Open","High","Low","Vol.","Change %"
"21-03-2025","596.25","583.42","597.54","580.95","25.02M","1.75%"
"20-03-2025","586.00","582.76","610.20","579.51","24.34M","0.33%"
"19-03-2025","584.06","584.28","592.32","574.77","20.54M","0.29%"
"18-03-2025","582.36","600.05","600.25","574.66","20.30M","-3.73%"
"17-03-2025","604.90","607.46","613.10","598.00","15.47M","-0.44%"
"14-03-2025","607.60","602.80","608.86","594.78","12.36M","2.87%"
"13-03-2025","590.64","620.24","620.50","586.51","16.48M","-4.67%"
"12-03-2025","619.56","629.90","633.33","609.35","15.75M","2.29%"
"11-03-2025","605.71","595.05","614.93","593.33","17.40M","1.29%"
"10-03-2025","597.99","608.07","610.11","586.87","22.00M","-4.42%"
"07-03-2025","625.66","625.37","634.79","600.61","21.38M","-0.36%"
"06-03-2025","627.93","648.00","650.56","624.11","13.45M","-4.35%"
"05-03-2025","656.47","641.00","659.50","637.66","13.77M","2.57%"
"04-03-2025","640.00","645.51","649.75","623.65","21.50M","-2.30%"
"03-03-2025","655.05","673.67","681.25","650.84","10.84M","-1.97%"
"28-02-2025","668.20","658.04","669.63","642.60","17.53M","1.51%"
"27-02-2025","658.24","682.45","688.65","657.57","12.50M","-2.29%"
"26-02-2025","673.70","659.65","683.01","658.00","14.49M","2.46%"
"25-02-2025","657.50","665.97","668.00","641.86","20.58M","-1.59%"
"24-02-2025","668.13","686.28","687.27","662.45","15.68M","-2.26%"
"21-02-2025","683.55","696.58","703.87","682.36","15.66M","-1.62%"
"20-02-2025","694.84","697.28","705.63","693.64","12.59M","-1.27%"
"19-02-2025","703.77","704.09","707.00","695.39","17.54M","-1.76%"
"18-02-2025","716.37","736.00","737.00","706.44","21.94M","-2.76%"
"14-02-2025","736.67","726.14","740.91","725.62","16.90M","1.11%"
"13-02-2025","728.56","721.52","729.00","718.04","12.57M","0.44%"
"12-02-2025","725.38","715.30","727.10","712.60","12.02M","0.78%"
"11-02-2025","719.80","713.32","723.66","710.04","13.00M","0.33%"
"10-02-2025","717.40","718.56","721.20","711.33","12.90M","0.40%"
"07-02-2025","714.52","716.79","725.01","711.75","16.43M","0.36%"
"06-02-2025","711.99","705.88","718.90","703.50","13.08M","1.01%"
"05-02-2025","704.87","703.55","718.14","699.01","17.79M","0.10%"
"04-02-2025","704.19","702.50","707.71","691.61","13.83M","0.96%"
"03-02-2025","697.46","675.91","704.00","675.25","21.42M","1.20%"
"31-01-2025","689.18","691.00","705.30","685.58","19.33M","0.32%"
"30-01-2025","687.00","696.82","710.79","676.10","29.32M","1.55%"
"29-01-2025","676.49","675.00","681.05","665.67","21.38M","0.32%"
"28-01-2025","674.33","666.00","682.58","659.47","20.95M","2.19%"
"27-01-2025","659.88","626.61","663.87","625.10","28.40M","1.91%"
"24-01-2025","647.49","636.40","652.00","634.20","19.07M","1.73%"
"23-01-2025","636.45","627.36","636.60","621.15","9.91M","2.08%"
"22-01-2025","623.50","623.30","633.70","619.43","12.27M","1.14%"
"21-01-2025","616.46","617.83","621.50","609.01","11.67M","0.60%"
"17-01-2025","612.77","624.05","624.97","603.67","17.28M","0.24%"
"16-01-2025","611.30","611.50","616.25","609.71","8.36M","-0.94%"
"15-01-2025","617.12","610.21","622.46","606.50","15.52M","3.85%"
"14-01-2025","594.25","605.07","605.49","588.55","13.60M","-2.31%"
"13-01-2025","608.33","607.10","608.97","598.45","10.79M","-1.22%"
"10-01-2025","615.86","610.03","629.91","597.34","19.26M","0.84%"
"08-01-2025","610.72","613.40","616.44","602.79","10.09M","-1.16%"
"07-01-2025","617.89","631.70","632.10","608.23","12.07M","-1.95%"
"06-01-2025","630.20","611.83","630.99","605.62","14.56M","4.23%"
"03-01-2025","604.63","604.76","609.50","596.41","11.44M","0.90%"
"02-01-2025","599.24","589.72","604.91","587.82","12.68M","2.34%"
"31-12-2024","585.51","592.27","593.97","583.85","6.02M","-0.97%"
"30-12-2024","591.24","588.75","596.94","585.58","7.03M","-1.43%"
"27-12-2024","599.81","599.41","601.85","589.80","8.08M","-0.59%"
"26-12-2024","603.35","605.48","606.30","598.94","6.09M","-0.72%"
"24-12-2024","607.75","602.72","607.99","599.28","4.73M","1.32%"
"23-12-2024","599.85","589.60","601.09","586.25","10.21M","2.49%"
"20-12-2024","585.25","590.58","603.11","580.00","48.99M","-1.73%"
"19-12-2024","595.57","610.39","611.52","595.00","14.96M","-0.27%"
"18-12-2024","597.19","621.00","627.36","596.32","17.08M","-3.59%"
"17-12-2024","619.44","626.17","632.37","616.54","12.90M","-0.77%"
"16-12-2024","624.24","629.97","631.15","618.58","10.89M","0.63%"
"13-12-2024","620.35","627.22","631.08","616.89","8.45M","-1.66%"
"12-12-2024","630.79","631.50","636.66","627.21","7.47M","-0.30%"
"11-12-2024","632.68","623.37","638.40","621.53","10.84M","2.16%"
"10-12-2024","619.32","617.56","625.59","612.74","10.94M","0.94%"
"09-12-2024","613.57","623.92","626.40","606.17","11.43M","-1.64%"
"06-12-2024","623.77","610.10","629.79","608.53","16.94M","2.44%"
"05-12-2024","608.93","617.08","619.90","607.05","8.08M","-0.79%"
"04-12-2024","613.78","612.96","617.78","605.10","14.70M","0.02%"
"03-12-2024","613.65","595.00","614.20","591.25","14.91M","3.51%"
"02-12-2024","592.83","577.50","594.50","575.57","12.52M","3.22%"
"29-11-2024","574.32","569.00","578.46","566.90","7.13M","0.90%"
"27-11-2024","569.20","574.89","574.98","564.10","7.20M","-0.76%"
"26-11-2024","573.54","566.00","577.50","565.20","10.36M","1.49%"
"25-11-2024","565.11","562.10","572.59","556.39","13.60M","1.07%"
"22-11-2024","559.14","563.55","563.83","554.59","9.16M","-0.70%"
"21-11-2024","563.09","569.52","570.00","549.05","11.15M","-0.43%"
"20-11-2024","565.52","562.93","566.35","554.20","9.80M","0.79%"
"19-11-2024","561.09","551.86","561.43","550.60","9.52M","1.21%"
"18-11-2024","554.40","557.04","559.90","550.09","14.35M","0.06%"
"15-11-2024","554.08","571.22","572.57","551.50","17.71M","-4.00%"
"14-11-2024","577.16","577.00","580.76","573.01","11.05M","-0.49%"
"13-11-2024","580.00","582.60","585.64","575.17","10.76M","-0.82%"
"12-11-2024","584.82","588.54","599.66","580.38","16.29M","0.28%"
"11-11-2024","583.17","586.36","587.00","576.51","10.21M","-1.05%"
